id,host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day,name_Luxury hostel with in-cabin locker - Single mixed,name_Inviting & Cozy 1BR APT 3 mins from Tg Pagar MRT,name_Studio Apartment - Oakwood Premier,name_Superhost 1BR APT in the heart of Tg Pagar,name_City-located 1BR loft apartment *BRAND NEW*,host_name_Jay,host_name_Alvin,host_name_Richards,host_name_Aaron,host_name_Kaurus,neighbourhood_Bukit Timah,neighbourhood_Bukit Merah,neighbourhood_Newton,neighbourhood_Geylang,neighbourhood_River Valley,neighbourhood_Rochor,neighbourhood_Queenstown,neighbourhood_Marine Parade,neighbourhood_Toa Payoh,neighbourhood_Outram,neighbourhood_Tanglin,neighbourhood_Kallang,neighbourhood_Novena,neighbourhood_Downtown Core,neighbourhood_Singapore River,neighbourhood_Orchard,neighbourhood_Museum,neighbourhood_Bishan,neighbourhood_Southern Islands,room_type_Private room,room_type_Entire home/apt,room_type_Shared room,price
-1.9043845979405707,-1.7149132457646932,1.7428602527307702,-2.607617312579973,2.00585972874787,1.2453439134663482,-0.8209341616547663,-1.4111403151466966,0.9887773612121943,-6.262192714965142,2.570680511075311,1.4668219320962932,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81
-1.9043845979405707,-1.5582995427232174,-0.9270855783784883,-1.7019760867204936,0.5293329890013656,1.2453439134663482,-0.9994049160170179,0.49350197888057085,0.9887773612121943,0.3823816790553187,-1.3845932148613578,0.7741399720397925,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44
-1.9043845979405707,-1.5582995427232174,-0.9503557484661407,-1.5894127420319057,2.00585972874787,0.9512048873363839,-1.5043063187854977,0.49350197888057085,0.45114004041340017,-0.9465331997487734,1.08745286384906,-0.3341511640506089,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40
-1.9043845979405707,-1.5509706658396734,0.45075343996918166,-0.516308856004295,-0.6518884027958378,1.5394829395963128,1.0097710499293349,-0.45881916813306284,0.9887773612121943,0.3823816790553187,0.5930436481069764,0.9126763640510925,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65
-1.9043845979405707,-1.5582995427232174,-0.8652359157771066,-1.669589440178443,2.00585972874787,0.9512048873363839,-1.322493725213581,0.49350197888057085,0.9887773612121943,0.3823816790553187,-2.373411646345525,-1.8580514761749107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44
-1.9043845979405707,-1.5582995427232174,-1.048335411993089,-1.5321436719277175,2.00585972874787,0.9512048873363839,-1.3665697898590219,0.49350197888057085,0.9887773612121943,0.3823816790553187,-1.3845932148613578,1.6053583241075935,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40
-1.9043845979405707,-1.5582995427232174,-1.1340676175791706,-1.5941522512823179,2.00585972874787,0.06878780894649045,-1.8615924479249244,0.49350197888057085,0.9887773612121943,-3.6043629573569573,0.5930436481069764,0.9126763640510925,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31
-1.9043845979405707,-1.5307834462782406,0.631403444596988,2.01774875634526,2.00585972874787,-1.1077682955733674,-0.017515052888110002,-1.4111403151466966,-0.35531594078479106,0.3823816790553187,0.09863443236489283,-0.05707838002800857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81
-1.9043845979405707,-1.5509706658396734,0.46606276239527206,-0.538821524941788,-0.6518884027958378,1.5394829395963128,0.8439026973320811,-0.45881916813306284,0.9887773612121943,0.3823816790553187,0.09863443236489283,-0.7497603400845094,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60
-1.9043845979405707,-1.5509706658396734,0.47157411846865804,-0.5206534061504126,-0.6518884027958378,1.5394829395963128,1.2904694417391473,-0.45881916813306284,0.9887773612121943,0.3823816790553187,0.5930436481069764,-0.05707838002800857,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60
